100784444-01	作者序言 

101284192-21	也就是所谓的"大换名行动",

101284192-22	分别是:计算机,

101284192-23	其他,新闻,休闲娱乐,科学,社交和聊天室.

101284192-24	在这七大类别下,用户可以创建相关的子群组.

101284192-25	命名子群组时,需要先选择它的主要门类,然后再进一步添加更细分的分类即可.

101284192-26	约翰·吉尔摩,

101284192-27	一九九二年他与蒂姆·梅和埃里克·休斯共同发起了"赛博朋克"运动,

101284192-28	在此之前,他也曾创建过关于药物的子分组"

101284192-29	休闲娱乐-药物,

101284192-30	然而他的请求被管理员拒绝了.

101284192-31	于是,吉尔摩和另外两名经验丰富的ƫǆƵƾƵǇ用户共同创建了他们自己的门类, 

101284192-32	他们称之为"ƱƼǇ.",

101284192-33	是"ƱƼǇƵǅƾƱǇƹǉƵ"的缩写

101284192-34	(也被认为是无政府主义者,精神病和恐怖分子的聚集地).

101284192-35	ƖƼǇ.板块上的引战气息十分浓厚,

101284192-36	口出恶言的用户们穷尽创造力与想象力,享受着欺凌他人的快感.

101284192-37	上世纪九零年代有一位叫"梅肯"的引战高手,活跃于ƫǆƵƾƵǇ,

101284192-38	经常发表一千五百字的史诗级言论来回应论战,

101284192-39	这些天马行空的言论是他多年来积累的成果——

101284192-40	"你这罗圈腿流浪汉和染梅毒的骆驼生的野种,

101284192-41	还没说你装扮奇葩在奇怪的地方染上了污渍呢……"

101284192-43	一九九三年,有位名叫摩比的用户在该群组向他人请教,自己因为一对处于发情期的猫咪,

101284192-44	感情生活搞得一塌糊涂.

101284192-45	此番举动收到了各方轰炸式的回复,

101284192-46	然而解决方法一个比一个荒谬:

101284192-47	亲手把猫给阉了;

101284192-48	把猫一枪毙了;

101284192-49	焚猫.

101284192-50	十有八九会出现这样的回复:

101284192-51	跟猫做爱.

101284192-53	在ƫǆƵƾƵǇ以及ƗƗƩ上面,新的流行语和规则层出不穷,

101284192-54	这个世界即将被铺天盖地的信息所淹没.

101284192-55	在二十世纪九零年代早期,互联网用户增长迅猛,

101284192-56	许多新用户会直接奔向最为活跃,有意思的网络平台"ƱƼǇ.".

101284192-57	面对突然涌入的大量网络"移民",ƫǆƵƾƵǇ的"原住居民"十分不爽,费尽心思想把他们赶走.

101284192-58	一九九二年,在群组都市传说中,

101284192-59	一种针对"新人"的网络骂战的形式首次露面——

101284192-60	引战 .

101284192-61	"引战"的核心内容就是"对新手发起进攻":

101284192-62	经验老道的用户们会发表关于ƫǆƵƾƵǇ迷信说法或都市传说,希望激发出新手们各种震惊的反应,

101284192-63	凸显出他们的无知.

101284192-64	"看,吓到你了!"

101284192-65	之后,这些反应过度的新人就会遭到无情的嘲讽.

101284192-67	这些潜在目标的数量之多,使得"引战"开始肆虐全网,

101284192-68	愈演愈烈,发展出各种新花样.

101284192-69	以"引战"为目的的若干群组在ƱƼǇ.板块建立起来.

101284192-70	一九九九年,

101284192-71	一位名叫卡比·汉普的用户在群组ƱƼǇ.中列出了六种引战的方式,

101284192-72	分别是:

101284192-73	直截了当开骂式引战;

101284192-74	无头苍蝇菜鸟式引战;

101284192-75	打完就跑旁观式引战;

101284192-76	胸有成竹策略式引战;

101284192-77	一箭多雕创意式引战;

101284192-78	拉帮结派团伙式引战.

101284192-79	"喵族"就是其中臭名昭著的引战团伙之一.

101284192-80	一九九七年,哈佛大学的一群学生加入了一个废弃的叫作"卡尔·莫尔登鼻子的粉丝"的ƫǆƵƾƵǇ群组,

101284192-81	上传一些学校里的新鲜事.

101284192-82	随后,他们开始悄悄对其他ƫǆƵƾƵǇ群组的用户进行言论攻击,按其中一位成员的话来说,目的就是为了"惹怒一群傻子".

101284192-83	马特·布鲁斯是哈佛群组的一位成员,

101284192-84	他提议将目标锁定为喜爱卡通电影"瘪四与大头蛋"的群组的人们.

101284192-85	然而,该群组的人们也不好惹,

101284192-86	面对这些傲慢的大学生,他们也开始进行言论反击.

101284192-87	其他群组的成员们也纷纷揭竿而起,

101284192-88	攻击的言论如此泛滥以致最后哈佛的学生放弃了自己的领地,

101284192-89	那些喜爱"瘪四与大头蛋"的群组成员们入侵成功,

101284192-90	取而代之并自称为"喵族",

101284192-91	假意向一位名字缩写为"猫"且总在发言最后署名"喵"的哈佛学生致意.

101284192-92	"喵族"之后又建立起各式各样的新群组

101284192-93	在这些群组里,他们通过发布一些蒙提·派森式的荒谬段子攻击其他组的成员,

101284192-94	借此阻断他们参与讨论或者发言的机会.

101284192-95	这种技巧后来被称为"垃圾灌水",

101284192-96	现如今在网友中也颇受欢迎.

101284192-97	一千九百九十七到一九九八年,"喵族"持续秉持垃圾灌水的风格,逐个击破ƫǆƵƾƵǇ的所有群组,

101284192-98	他们称之为"ƫǆƵƾƵǇ行为艺术".

101284192-99	对于反击的个人用户,喵族会用隐藏寄信地址的方式发送匿名垃圾邮件进行狂轰;

101284192-100	除此之外,波士顿大学的邮件系统在此次行动中也遭到了喵族的蓄意破坏,

101284192-101	这场喵族的狂欢运动持续了至少两年.

101284192-102	引战小组

101284192-103	则以"一箭多雕"的引战模式

101284192-104	扬名在外.

101284192-105	群组成员会把某个群组认真写好的帖子保留原始邮件地址,

101284192-106	以匿名邮件的方式转发到另一群组,而这一群组通常是他的死对头

101284192-107	这样一来,在双方毫不知情自己被卷入论战的情况下,

101284192-108	引战已悄然发生.

101284192-110	该群组的攻击策略是经过精心策划的,

101284192-111	并且他们还会采取栽赃陷害,假冒身份,双重间谍的手段参与引战.

101284192-112	类似于该群组成员的的网络菜鸟们并不喜欢速战速决,

101284192-113	他们更希望事件能够引起轩然大波.

101284192-114	这也是他们一直坚称的,

101284192-115	所谓引战与论战的不同之处.

101284192-116	论战,通常是指铺天盖地的辱骂诋毁,尽管两者的概念之间有重合的部分,

101284192-117	而引战常常指代"更谨慎,更细致,更具想象力"的网络行为.

101284192-118	一位活跃于群组的匿名用户这样形容引战:

101284192-119	"引战重在‘克制’,

101284192-120	高手们懂得‘蓄势待发’,才能给一记响亮的耳光."

101284192-121	而且耳光越响,效果越好:

101284192-122	进入棒球主题的群组ǅƵƳ.ǆǂƿǅǇ.ƲƱǆƵƲƱƼƼ,

101284192-123	高喊"棒球垃圾",

101284192-124	这种事人人都能做到.

101284192-125	但是策划一个"长线"的网络大战,

101284192-126	则需要高超的技巧和自律.

101284192-127	这才是我们的目的.

101284192-128	不过,要想成功,只有依靠天赋,以及与之匹敌的天时地利才能做到.

101284192-129	我们只需把这些会动脑子引发骚乱的盟友领进门即可.

101284192-130	某一群组的群组成员对自己的目标十分清晰:

101284192-132	登上拒读名单

101284192-133	群组常客禁止踏足被入侵的讨论组

101284192-134	收到大量恶意邮件

101284192-136	随着引战行为的进一步发展,网络菜鸟的名声也越来越大.恰在此时,对于回复式的"业界标准"也逐渐建立起来:

101284192-137	"不要理会引战喷子!"

101284192-139	一条标语让众多网络菜鸟做出更加极端且可怕的行为.

101284192-140	上世纪九零年代晚期,网络引战越来越无底线,且一发不可收拾.

101284192-141	当时的网友们形成了一套不成文但被广泛接受的行事准则:

101284192-143	"引战就是斗心眼……"

101284192-144	一九九九年,

101284192-145	一位ƱƼǇ.ǇǅƿƼƼǆ的隐秘用户写道:

101284192-146	这场比拼只限于ƫǆƵƾƵǇ这个公平竞争的环境,

101284192-147	人们在ƫǆƵƾƵǇ上面发表言论,是十分公平的.

101284192-148	但在现实中,如果不使用真实姓名的人调查某个用真实姓名发言的人在现实生活中的所作所为,

101284192-149	不管对方是谁,这都是不公平的.

101284192-150	然而,对于新一代网络用户而言,

101284192-151	数字生活与现实生活的界限变得越来越模糊了.

101284192-152	两个长期霸屏且臭名远扬的事件彻底推倒了网络与现实世界的壁垒:在专注名人绯闻八卦的群组里,

101284192-153	两位发帖者玛丽安娜·基欧和杰夫·博伊德之间的小争吵急剧恶化成一场论战.

101284192-154	基欧觉得

101284192-155	博伊德一直在群里发些无意义的信息灌水,

101284192-156	于是就向老板发邮件,

101284192-157	请求老板惩治博伊德.

101284192-158	而博伊德,这个可恶的网络菜鸟,现实中却是一位思路清晰的电脑工程师,且最近刚当上爸爸;

101284192-159	另一边,游戏研发工程师德里克·斯马特因为一九九六年开发了饱受大众诟病的网络游戏

101284192-160	"战略巡洋舰:公元三零零零年",而遭受了无数的谩骂攻击,

101284192-161	影响之大使得这场论战可能是互联网史上周期最长的引战事件.

101284192-162	斯马特通过邮件告诉我:

101284192-164	"他们就是那种普通的不合群的反社会分子,

101284192-165	如果他们碰到像我这样不在意别人说什么的人,

101284192-166	一个个就都没电了."

101284192-168	这款游戏刚刚上线的时候,ƫǆƵƾƵǇ上的争论就不绝于耳,

101284192-169	舆论之所以愈演愈烈,

101284192-170	部分原因也在于斯马特采取了"反引战"的策略.

101284192-171	"当时,"他坦白道,

101284192-172	"这种事确实挺闹心的.

101284192-173	"直到二零零零年,大多数关于斯马特的评论都是议论他的个人生活以及职业资质,

101284192-174	而这些信息大部分来源于一位名叫比尔·霍夫曼的人,

101284192-175	他自称"德里克研究学家",

101284192-176	同时还担任加利福尼亚州一家软件公司的经理.

101284192-178	斯马特也曾被一个声称自己持有枪支的十六岁青少年跟踪.

101284192-179	于是,斯马特向法院申请了限制令,

101284192-180	也向摸不清状况的警方递交了投诉状.

101284192-181	整个事件起源于霍夫曼之前创立的一家网站,

101284192-182	纷纷扰扰直到二零一三年才得以平息.

101284192-183	网络世界的领地逐渐被新来的用户们占据,

101284192-184	ƫǆƵƾƵǇ上与引战相关的所谓行为规范也渐渐失去了意义,

101284192-185	然而,事情却没有好转的迹象.

101284192-187	美国黑人同性恋协会和ƝƿƱǇǆƵ网站

101284192-188	上世纪九零年代末,就有人担忧没完没了的引战事件将会毁掉ƫǆƵƾƵǇ.然而最终,却是创新的浪潮将ƫǆƵƾƵǇ拍在了沙滩上.

101284192-189	随着上网门槛的降低,

101284192-190	网络下载速度(以及更为重要的上传速度)的大幅提升,

101284192-191	越来越多的用户得以在网上发布更多

101284192-192	多样化的内容,

101284192-193	比如图片和视频.

101284192-194	ƫǆƵƾƵǇ,具有与许多新颖且富有吸引力的科技相同的命运,走进了历史.

101284192-195	千禧年的到来,促使网络菜鸟将引战战场从ƫǆƵƾƵǇ搬到了新的地盘:

101284192-196	这里不受拘束,以用户为本,也没有审查制度.

101284192-197	之后,这种网站统一被贴上了"工作不宜"的标签,

101284192-198	常常由一些学生和青少年创立.

101284192-199	不同于以往的传统媒介,这些网站是由故事,

101284192-200	各种超链接以及来自读者的建议和评论组成.

101284192-201	不管故事是什么内容,只要阅读量高,分享次数多就可以在排名系统上上榜,

101284192-202	也就意味着人气的高低,在于是否能抓住社区内读者的眼球,而不是由编辑的管控权决定.

101284192-203	这跟线上许多以内容为主的媒体一样,

101284192-204	用户自然而然就想发布耸人听闻的消息,

101284192-205	妄图一夜爆红.

101284192-206	越是低俗,粗暴,奇葩,戾气重的故事,人气就越高.

101284192-207	ƜƱǅƻ网站开的第四年,访问者人数突破一百万人,

101284192-208	对当时的互联网市场而言,这个数字极为抢眼:

101284192-209	要知道,二零零零年使用互联网的网民仅有三亿六千万人.

101284192-210	泡在这些新网站的网友们继承并发扬了前辈们的引战哲学:

101284192-211	憎恶审查制

101284192-212	以及看待网络的态度——

101284192-213	认真你就输了.

101284192-214	网络世界中的"幽默"至今仍是网络文化的代表特色:

101284192-215	抽象,自我参照,动不动就炮轰他人.

101284192-216	网络引战将"惹怒他人"作为具有幽默感的表现,

101284192-217	且经常都以脑洞大开而又令人恶心的方式.

101284192-218	ƝƿƱǇǆƵ是ƝƿƱǇ ǆƵǋ的缩写形式,

101284192-219	同时也是一九九九年创立的一家网站的名字.

101284192-220	主页上是一张裸体的中年男子撑开肛门的照片,

101284192-221	好事的网友喜欢用这个网站来玩"偷梁换柱"的把戏:

101284192-222	他们会发布一条看似安全的网络链接,

101284192-223	实际上点开以后跳转的是ƝƿƱǇǆƵ网站.

101284192-224	这类恶作剧也被称为"休克引战".

101284192-226	二零零零年,ƝƿƱǇǆƵ网站的链接不停地被抛在奥普拉脱口秀的"心灵故事"的讨论区,

101284192-228	同时还附有误导读者的信息:

101284192-229	"最近过得很糟糕,

101284192-230	链接里是我写的一首诗.

101284192-231	"这一举动惹怒了不少奥普拉的粉丝,甚至于讨论区一度被关闭.

101284192-232	在背后参与这场恶搞的ƩƿƽƵǇƸƹƾƷƖǊƶǈƼ的用户们,则为他们掀起全网风波的成果而欣喜若狂.

101284192-233	美国黑人同性恋协会

101284192-234	(以下简称"ƝƤƖƖ"),

101284192-235	创办于二零零二年,正是以上述极端的引战手段而出名.一进入他们的主页,便抛出了这样的问题:

101284192-236	"你是同性恋吗?你是黑人吗?你是黑人同性恋吗?

101284192-237	如果答案皆为肯定的,

101284192-238	ƝƤƖƖ就是为你而生的!

101284192-239	据传ƝƤƖƖ的创始人是一群极为优秀的工程师,

101284192-240	他们花费了巨大的心血来策划吸引眼球且毫无下限的内容,

101284192-241	目的是惹恼那些人气博主,名人,热门网站以及他们视之为眼中钉的任何对象.

101284192-242	这些人经常会"灌水洗版"整个网站,就是用各种无聊的废话填满留言板,

101284192-243	正如十几年前"喵族"的所作所为,

101284192-244	此外,他们也会黑掉热门网站篡改其信息.

101284192-245	ƝƤƖƖ把他们的目的定义为"埋下扰乱互联网的种子",

101284192-246	然而最终他们又成立了一个网络安全组织,

101284192-247	对各种网站进行黑客攻击,彰显自家的实力.

101284192-248	他们把组织命名为"ƝƿƱǇǆƵ安全网",

101284192-249	组织的信条为

101284192-250	"暴露网络安全的大漏洞".

101284192-251	尽管组织成员曾以非法黑客入侵的罪名遭到ƜƗƟ(美国联邦调查局)的调查,

101284192-252	然而"ƝƿƱǇǆƵ安全网"的确为数个互联网主流产品及软件识别及修复了一系列安全漏洞.

101284192-253	扎克是ƝƤƖƖ以及ƝƿƱǇǆƵ网站早期的支持者之一,

101284192-254	他说道:

101284192-255	"人们都是自愿被ƝƿƱǇǆƵ这种东西调戏的;

101284192-256	惹恼这种自愿上钩的人很有意思,

101284192-257	如果他们真的中计了,就越发证明你的判断是对的,

101284192-258	这是双方相互作用的结果.

101510395-02	在某种意义上,

101510395-03	扎克,

101510395-04	ƝƤƖƖ以及其他打着"工作不宜"旗号的网络菜鸟们高呼自己才是"受害者",

101510395-05	他们认为属于"自家地盘"的网络空间正受到营销专家,名人,大型企业,政府机关以及万千普通人的入侵.一九九三年,ƫǆƵƾƵǇ网民也曾感受过相似的境况.

101510395-06	那些新来的网民,都太把网上的信息当回事了.

101510395-07	在这种情势下,克里斯托弗·普尔,

101510395-08	一名年仅十四岁的ƩƿƽƵǇƸƹƾƷƖǊƶǈƼ网站狂热粉丝,

101510395-09	发现了日本一家图片分享网站

101510395-10	"ƜǈǇƱƲƱ",

101510395-11	这个网站可匿名发布任何内容.

101510395-12	虽然ƤƩƜƭ的网站十分吸引人,

101510395-13	但有一点,用户的身份信息是可以辨认的,

101510395-14	且网站本身也经常受到管控限制.

101510395-15	ƜǈǇƱƲƱ网站的匿名用户创意十足,言行十分冒失且完全不受控制.

101510395-16	此网站充斥着学生屠杀老师的血腥暴力小说,

101510395-17	动漫成人电影以及各种不可描述的内容,

101510395-18	引发许多道德层面的争议,

101510395-19	网站也因此名声扫地.

101510395-20	ƜǈǇƱƲƱ的网站的地址是ǊǊǊ.二ƳƸƱƾ.ƾƵǇ,

101510395-21	以此致敬与其内容十分相似的网站.

101510395-22	于是在二零零三年,

101510395-23	普尔决定创立一个英文版的"ƜǈǇƱƲƱ",

101510395-24	命其名为"四ƳƸƱƾ".

101510395-25	被问及原因时,他以"穆特"的昵称发言称:

101510395-26	"这是二ƳƸƱƾ再乘以二!

101510395-28	扎克立刻表示入伙:

101510395-29	"我们就想打造属于自己的地盘,

101510395-30	我们自己的网络空间."

101510395-32	半强制的匿名性使得/Ʋ/区自然而然变成了滋生网络菜鸟的温床.

101510395-33	/Ʋ/区的引战十分普遍,且花样百出,有数十种类型.

101510395-34	黑客组织"匿名者"的成员都是/Ʋ/区的忠实用户,

101510395-35	自称是"/Ʋ/区的流氓" ,

101510395-36	并以此地为据点,计划开展他们的行动.

101510395-37	此组织成立以来的首个大动作,

101510395-38	针对的就是山达基教会

101510395-39	(又称"科学教")的"山达基教计划",

101510395-40	起因是教会试图将著名教徒汤姆·克鲁斯的宣教视频在全网下架.

101510395-41	尽管"匿名者"有话要说——

101510395-42	对审查制及事件的透明度的质疑,

101510395-43	但除了正式的示威行动和黑客行为之外,

101510395-44	打爆山达基教会的热线电话,散布源自四ƳƸƱƾ的抗议标语,

101510395-45	发送数百张"黑色传真" ,也都是他们的所作所为.

101510395-46	强制匿名性的特性,

101510395-47	Ʀơ掉其他用户的竞争心态,

101510395-48	以"反审查制"为幌子实为侵犯他人的心理,

101510395-49	这些特点聚集起来便组成了/Ʋ/区的引战核心——

101510395-50	"就是要逗你玩".

101510395-51	如果菜鸟们的主要目的就是将自己的快乐建立在他人的痛苦之上,

101510395-52	那么他们所有的行为都将以此为基准.

101510395-53	但是问题在于,

101510395-54	按扎克的话说,

101510395-55	这种"乐子"就像是毒品:

101510395-56	为了保持同样的快感体验,你得不断增加剂量.

101510395-57	而引战,很有可能以迅雷不及掩耳之势失去控制.

101510395-58	著名的社交及新闻分析网站

101510395-59	ƨƵƴƴƹǇ曾组织一个名为"引战游戏"的活动,

101510395-60	规则很简单:

101510395-61	如果你在ƨƵƴƴƹǇ上成功激怒了某个人,

101510395-62	前提是对方并不知道这是在"引战",

101510395-63	就可以赢得一分;

101510395-64	相反,如果你的"菜鸟"身份被揭穿,就会丢掉一分.

101510395-65	得分最高的参赛者将会荣登排行榜.

101510395-66	其中一位参与者进入了一个ƨƵƴƴƹǇ的热门板块,

101510395-67	并发表一个杜撰的故事,

101510395-68	吐槽他与同事之间发生的矛盾.

101510395-69	之后他又佯装成是这个故事中的同事,

101510395-70	要求发帖人道歉,

101510395-71	然后开始哭诉自己并没有什么朋友.

101510395-72	有不少ƨƵƴƴƹǇ的读者们被故事深深吸引,甚至有人要主动给"被欺负的同事"送花安慰.

101510395-73	所有人都上当了."

101510395-74	场面十分壮观.

101510395-75	"一位目睹事件全过程的当事人回忆道.

101510395-76	最终,"引战游戏"被ƨƵƴƴƹǇ叫停.

101510395-77	这对于向来标榜自由言论的主办方来说,确实有些反常,

101510395-78	但另一方面也证实了ƨƵƴƴƹǇ的网络菜鸟并不是少数群体.

101510395-79	不顾一切进行辱骂和挑事的引战竞赛,常常会导致令人毛骨悚然的极端后果.

101510395-80	二零零六年,一位住在明尼苏达州的十五岁少年米切尔·亨德森,

101510395-81	使用其父母的来复枪自杀.

101510395-82	米切尔的同学在社交网站ƣǌƩǂƱƳƵ上为他举行悼念仪式,并为他写了一篇简短的悼文,

101510395-83	其中多处将米切尔称为"英雄":

101510395-84	"他如同一位英雄,在扣动扳机的瞬间,离我们而去,

101510395-85	上帝啊,我们真希望能阻止这一切的发生!

101510395-86	"语法错误再加上将自杀行为"英雄化",

101510395-87	这在四ƳƸƱƾ的网友中间炸开了锅.

101510395-88	得知米切尔在自杀不久前曾丢过一个ƹƦƿƴ,

101510395-89	/Ʋ/区的那些"流氓们"又坐不住了,

101510395-90	ƦƩ了众多米切尔和ƹƦƿƴ的照片.

101510395-91	甚至有人在其墓前拍了一张ƹƦƿƴ的照片,

101510395-92	寄给仍处于丧子之痛的米切尔父母手中.

101510395-93	在米切尔过世后的两年间,他的父母仍会陆陆续续接到一些匿名电话,声称他们找到了那台ƹƦƿƴ.

101510395-95	初遇菜鸟

101510395-97	找到现实中的网络菜鸟并不简单.毕竟许多人会用代理服务器来隐藏ƟƦ地址,

101510395-98	此外,

101510395-99	也有不少人有数个账号,在不同平台使用的登录名都有所不同.

101510395-100	万一被某个网站封号,只要用新的名字重新注册即可.

101510395-101	不过就跟以前的"喵族"一样,

101510395-102	如今的网络菜鸟们十分享受跟其他同好扎堆的感觉.

101510395-103	许多史上最为恶劣的网络引战活动,都是通过隐蔽或秘密通道与聊天室紧密相连才得以进行.

101510395-104	扎克同意向我透露他的藏身地之一,

101510395-105	邀请我进入一个他两年以来经常造访的秘密通道.

101510395-106	这是一个隐藏于知名社交媒体网页的私人群组,

101510395-107	扎克形容这里为"网络菜鸟的海盗基地",

101510395-108	群组主页——也就是一般用户能看到的页面——

101510395-109	是一组自慰的照片,

101510395-110	扎克告诉我:

101510395-111	"这只是做个样子,

101510395-112	就是为了吓跑那些蠢货."

101510395-113	要想打入内部,必须得到现任群组管理员的许可,才能拿到权限,

101510395-114	进入群组内部的邮件系统.

101510395-115	进入群组之后,才发现内部混乱不堪:每天都有持续不断,长篇大论的争辩及忍俊不禁的讨论,

101510395-116	有的讨论甚至会引来二十名管理员一齐加入,

101510395-117	他们当中有些人是相互熟识的,

101510395-118	有些人则并不熟悉.

101510395-119	群组成员都使用假名,

101510395-120	因为每个人都曾被网站封过号,

101510395-121	所以我的存在并不显眼,

101510395-122	毕竟

101510395-123	我可以是他们当中的"任何一位".

101510395-124	这里时时刻刻都上演着彼此间的"引战",

101510395-125	然而大多数的言论都令人捧腹,且内容极为尖锐.

101510395-126	按扎克的话来说,其中至少有两位参与者是大学教授.

101510395-128	这个群组就像是网络菜鸟训练营,

101510395-129	成员之间可以彼此操练新的战术,

101510395-130	打擂作战,同时也不会导致严重的后果,

101510395-131	另外还可以在此休息,

101510395-132	与同辈一起放松释压.

101510395-133	在秘密群组内部卧底期间,刚好有位臭名昭著的菜鸟成了群组管理员.

101510395-134	扎克告诉我,这哥们管自己叫"非单",意为"非自愿单身".

101510395-135	他在引战圈可是小有名气,

101510395-136	原因是在博客中事无巨细地阐明为何政府该为自己寻找一位女性性伴侣;

101510395-137	他还吹嘘自己实在太过饥渴,甚至曾经想过要睡自己的妈妈.

101510395-138	"我想上谁就上谁",

101510395-139	"政府有义务支持我这么干",

101510395-140	"反正所有女的都是贱货",

101510395-142	当他在群组说出这些话时,没人能搞清楚他是为了引战而这么说,

101510395-143	还是他真心想法就是如此.

101510395-144	总而言之,

101510395-145	网友们的好奇心被激发了,开始打探他起来,玩起了反引战套路:

101510395-146	网友一: 

101510395-147	"非单"你恐同吗?

101510395-148	假如咱俩在一个屋子里,我和某人开始接吻,

101510395-149	你是什么感觉?

101510395-151	如果气氛上来了,我一边揉捏他软软的小屁股,一边把舌头伸进他的喉咙,

101510395-152	你会有什么意见吗?

101510395-153	非单: 

101510395-154	没有.

101510395-155	网友二: 

101510395-156	非单,

101510395-157	你妈漂亮吗?

101510395-158	十分算作满分的话,

101510395-159	你妈有几分?

101510395-160	有七分以上吗?

101510395-161	我只是好奇你泡妞的那套是不是也适用于你妈.

101510395-164	非单: 

101510395-165	嗯,是啊……

101510395-166	除了呵呵我还能说什么.

101510395-168	群组的其他人还在默默观望,寻找他的弱点,好有机可乘.

101510395-169	这种情形就叫作"高手对高手":

101510395-170	没人能够确定谁才是上钩的那一方.

101510395-171	此时输或赢并不是关键,双方更像是相互试探比画.

101510395-172	老霍尔本因其无数次的网络恶行,

101510395-173	被"每日邮报"称为全英国"最卑鄙的菜鸟",其中之一便是恶言侮辱一九八九年希尔斯堡惨案遇难者的家属.

101510395-174	老霍尔本经常使用推特和博客发表言论,

101510395-175	用盖伊·福克斯面具隐藏自己的面孔.

101510395-176	然而摘下面具的他,并不如想象中那么可怕:

101510395-177	是个穿着讲究,语速偏快,来自埃塞克斯的中年男子,

101510395-178	同时也是一位优秀的电脑工程师及人事专员.

101510395-179	他对我说:

101510395-180	"你可以骂我蠢,

101510395-181	"喝完一口咖啡继续说道,

101510395-182	"我一直都是这样,反对权威.

101510395-183	"不仅如此,他还是小政府主义者,

101510395-184	主张尽可能缩小政府的权力及角色,

101510395-185	"我们只需有人来保护私人财产不受侵犯,

101510395-186	至于其他的事,我们自己都能搞定.

101510395-187	"总而言之一句话:

101510395-188	"政府应该少管我们的闲事.

101510395-189	"网络引战就是他反抗体制的一种表现,

101510395-190	"我想成为政府后背挠不到的痒痒,卡在收割机里的那粒沙子.

101510395-191	"二零一零年,

101510395-192	老霍尔本在剑桥参加议员竞选,

101510395-193	他戴着面具签署了更名函,正式将自己的名字改为老霍尔本,

101510395-194	这一举动令选举委员会头痛不已.

101510395-195	同一时间,他还以曼彻斯特的一处警察局为终点进行游行示威,

101510395-196	同样戴着面具,还提着一个装满五英镑钞票的箱子.

101510395-197	游行目的是为了保释一名酒吧老板,

101510395-198	他曾因违反二零零七年颁布的密闭公共场所禁烟条令被捕.

101510395-199	老霍尔本说,

101510395-200	这也属于引战活动.

101510395-202	在推特上辱骂希尔斯堡惨案遇难者家属,和小政府主义者似乎八竿子打不着,

101510395-203	但其实,两者确实有联系的.

101510395-204	老霍尔本心中有个自由无政府的乌托邦,

101510395-205	在这里人们必须坚强,独立,勇于为自己的行为负责.

101510395-206	他对沉默而又顺从的社会感到恐慌,

101510395-207	认为如果社会大众处在容易被激怒的环境当中,

101510395-208	人人将会走向自我审查的道路.

101510395-209	老霍尔本将自己的角色使命定义为探寻激怒大众的底线,以使整个社会保持警觉.

101510395-210	他之所以把目标锁定为利物浦队球迷的家属,

101510395-211	正是为了"证明"他们有受害者综合征.

101510395-212	跟ƫǆƵƾƵǇ菜鸟一样,

101510395-213	他认为引战的成功关键在于对方的反应:

101510395-214	"或许我的手段有争议性,

101510395-215	但我就想证明他们喜欢当‘弱者’的感觉,

101510395-216	他们的反应太赞了,

101510395-217	有人威胁说要烧了我的办公室,烧了我的家,甚至还有人要强奸我的孩子.

101510395-218	哈哈!

101510395-219	我没说错吧!

101510395-220	他们的反应证明了我说得没错!

101510395-222	然而最终,老霍尔本也因此遭到人肉搜索,距我们见面没多久之后,他就搬到了保加利亚南部地区,

101510395-223	按他的说法,搬家是为了在那里可以安心地"全职找碴".

101510395-224	"我才是好人!"

101510395-225	老霍尔本在咖啡馆里发出一声大吼,

101510395-227	"我才是揭露虚伪,努力让社会更自由的那个人!

101510395-228	菜鸟背后的真相

101510395-229	在上世纪八十到九零年代,随着网民数量的不断增加,心理学家开始关注电脑是如何改变人们的想法和行为这个议题.

101510395-230	一九九零年,美国律师兼作家迈克·戈德温针对ƫǆƵƾƵǇ的行为模式提出了一条自然法则

101510395-231	(也就是著名的

101510395-232	"戈德温法则"):

101510395-233	网络上的讨论持续时间越长,用户发言中将纳粹或希特勒作类比的可能性就越来越接近百分之百.

101510395-234	换句话说,在网络上的发言越多,就越容易变得邪恶肮脏;

101510395-235	如果上网聊天的时长达到一定程度,就必然存在这种"恶性".

101510395-236	(时至今日,在大多数新闻报纸的网络留言板中仍可观察到符合"戈德温法则"的言论.)

101510395-237	二零零一年,心理学家约翰·舒勒提提出著名的"网络去抑制效应",

101510395-238	解释了这种行为的成因.

101510395-239	他指出,有六种因素促使网络用户忽视了现实生活中的社会法则和规范.

101510395-240	舒勒认为,一方面我们无法了解也无法看到对方是谁,

101510395-241	双方的交流模式是即时性的,

101510395-242	表面上毫无规则,也无须担负责任;

101510395-243	另一方面,网络的一切都好像是一个新的现实世界,

